2229	Makiling National High School	1775
6844	Malabuan HS	6377
39503	Malagap ES	6367
6854	Malasila National Vocational and Technological Hig...	6377
31107	Malazarte Elementary School	4955
39521	Malengen ES	6371
39529	Malinao CES	6367
6861	Malinao High School	6367
6862	Malinao NHS Annex-Pinamulaan HS	6367
20328	Mamburao CS	2718
15044	Manabayukan ES	976
6875	Manobo NHS	6340
31181	Mansalip Primary School	4955
6878	Manuangan HS-Datu Binasing HS Annex	6616
17981	Mapagong ES	1775
39576	Mapurok ES	6337
6883	Marciano Dahan HS	6353
6889	Matilac HS	6616
18053	Maunong Elementary School	1775
15167	Mercado ES	1231
39620	Midsayap Pilot ES	6331
39624	Miguel Intes (Katingawan) ES	6331
39664	Napalico ES	6353
39669	Natutungan ES	6333
39671	Nes ES	6331
39676	New Antique ES	6394
39688	New Caridad ES	6363
39707	New Kalibo ES	6394
5654	New Labangan NHS	5236
6907	New Lambunao IS	6388
39711	New Leon ES	6339
6910	New Rizal HS	6394
39728	Nicaan Annex PS	6371
39729	Nicaan Central Elementary School	6371
6913	Nicaan High School	6371
39741	Nueva Fuerza Elementary	6371
4050	Nueva Valencia National High School	3635
31425	Oleras ES	4700
6922	Osias High School	6349
26014	Paaralan ng Buhay ng Taras	3635
43348	Pagalongan Community CES	7342
39770	Pagangan elem. School annex	6339
39776	Palacat ES	6339
39779	Palao ES	6371
18263	Palo Alto ES	1775
6934	Pangao-an NHS	6340
26064	Panobolon PS	3635
39801	Pantar ES	6367
39803	Paradise Elementary School	6367
28370	Pasong ES	4131
39811	Patot ES	6616
15436	Paulo Abastillas Sr. Memorial School	963
39819	Pedtad ES (Mulao)	6349
39821	Pentil ES	6339
39822	Perez Elementary School	6394
6943	Pigcawayan National High School	6616
15460	Pilien PS	976
15469	Pinagrealan Elementary School	1091
39836	Pinamulaan ES	6367
34113	Pisompongan ES	5304
6961	Presbitero HS	6616
18457	Pulo ES	1719
23374	Pulo ES	2967
45994	Pura V. Kalaw ES	7839
5242	Quintin Quijano SAS	5013
39882	Rancho ES	6367
18502	Real ES	1775
6973	Ricardo L. Ipong NHS	6377
39894	Riverside PS	6367
39912	Sabang PS	6367
10775	Sabangan ES	313
20722	Sablayan CS	2640
39917	Saguing CES	6377
39927	Salasang ES	6353
6985	Salunayan HS	6331
26229	Salvacion CS	3635
2962	Salvacion National High School	2557
4100	Salvacion National High School	3635
39940	Sambulawan ES	6331
12996	San Antonio ES - Main	643
20763	San Carlos Elementary School	2545
31911	San Isidro Elementary School	4660
39946	San Isidro ES	6331
41555	San Jose Elementary School	6873
5708	San Jose NHS	5238
2407	San Jose NHS	1796
18721	San Juan ES	1775
26307	San Miguel Central School	3766
39959	San Miguel ES	6353
15922	San Pascual Elementary School	1231
18787	San Rafael ES - Inigan ES	1796
18789	San Ramon Elementary School	1775
32078	San Sebastian Primary School	4955
32090	San Vicente Elementary School	4955
34293	Sang-an Elementary School	5236
18832	Santa Rosa Elementary School Central II	1707
2446	Santiago National High School	1938
39979	Sarayan ES	6333
7006	Sibsib High School	6363
40000	Sibug ES	6340
48270	Silangan ES (Labahan ES)	9188
40007	Silway 8 ES	6376
40017	Sinawingan ES	6371
40018	Sinayawan ES	6353
18926	Sta. Ana Elementary School	1703
40040	Sta. Cruz ES	6331
40039	Sta. Cruz ES	6339
32206	Sta. Isabel Elementary School	4923
16202	Sta. Monica Elementary School	1231
5756	Subananen Agri. NHS	5517
40054	Sulok Elementary School	6339
7022	Sultan Memorial HS	6424
40058	Sumalili ES	6353
28709	Tabuan ES	4131
40089	Tagbac CES	6340
2551	Talisay School of Agriculture	1719
36700	Tamparan PS	5843
16401	Tangan-Tangan ES	1230
26534	Tangaw PS	3698
16412	Tarukan ES	976
21031	Tawagan ES	2506
19131	Tejero ES	1938
32418	Tib-o Elementary School	4658
40141	Tibao ES	6394
40145	Tigbawan Primary School	6616
668	Tobor NHS	118
19171	Tranca Elementary School	1719
40171	Tubak ES	6339
40172	Tubak Primary School Annex	6339
34634	Tubod Elementary School	5193
7057	Tukuran T. Kendenga High School	6331
19191	Tulo Elementary School	1775
7058	Tulunan NHS	6363
40186	Tumbao ES	6367
19206	Turbina ES	1775
40197	Ulamian ES	6371
3034	Vicente B. Ylagan NHS	2490
7071	Villarica High School	6331
1818	Virginia Ramirez-Cruz High School	1053
40250	Wendelin Eduarte ES (Gumaga ES)	6371
